@relation powerpuffgirls

@attribute blue_power_bubbles real
@attribute yellow_hair_bubbles real
@attribute red_power_blossom real
@attribute orange_hair_blossom real
@attribute klass {0.0, 1.0}

@data
0.0,3.9763014E-5,0.018509682,0.0,1.0
0.0,1.5901412E-4,5.565494E-4,1.9876765E-5,1.0
0.0,0.0,0.016509902,0.0,1.0
0.0014429606,0.0027444544,2.5464012E-4,2.8293345E-5,0.0
3.9569484E-5,1.9784742E-5,3.1655587E-4,1.9784742E-5,0.0
0.004895912,4.7764997E-4,2.9853123E-4,0.0,0.0
0.0,7.9608326E-5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.002508642,1.5802469E-4,2.3703703E-4,0.0
0.0,6.648936E-5,6.648936E-5,0.0,1.0
0.0,0.0,0.0,0.0,1.0
7.773632E-5,0.0,0.0,0.0,0.0
0.0,5.9618444E-5,1.7885532E-4,0.0,0.0
0.0,3.5460992E-4,4.7281323E-4,5.9101654E-5,1.0
0.009481481,9.8765435E-5,0.003219753,0.0,0.0
0.0,0.0,3.9682538E-5,0.0,1.0
0.0,0.0,3.9602393E-5,0.0,0.0
3.7813955E-4,1.9902081E-5,3.3833538E-4,0.0,0.0
1.1814745E-4,0.007709121,2.9536863E-5,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.9706246E-5,0.0,0.0
0.0,5.9721697E-5,0.0012740629,0.0,1.0
0.0,6.5483985E-4,9.326507E-4,3.9687264E-5,0.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.990644E-5,0.0,0.0
0.0,7.390983E-4,4.1061017E-4,0.0,0.0
0.0,0.001009921,4.7525694E-4,9.9011864E-5,0.0
0.0,1.19303266E-4,1.5907103E-4,0.0,0.0
0.0,3.9804163E-5,0.0,0.0,0.0
0.0,0.0,7.9365076E-5,1.9841269E-5,1.0
0.0,0.001675884,2.932797E-4,0.0,0.0
0.0,0.014501642,0.0,5.9351878E-5,0.0
0.0,0.0,4.289636E-5,0.0,1.0
4.164023E-4,3.965736E-4,6.146891E-4,0.0,0.0
0.0,8.914245E-4,3.565698E-4,3.9618866E-5,0.0
2.3836008E-4,0.0,0.0,0.0,1.0
0.0,0.0,0.0025037793,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,3.9658935E-5,4.164188E-4,0.0,0.0
0.0,5.94884E-5,6.742019E-4,0.0,1.0
0.0,4.1803523E-4,0.0012142928,0.0,0.0
0.0,9.946884E-5,0.0024270397,1.9893767E-5,1.0
5.147292E-4,0.0,3.1675643E-4,0.0,0.0
0.0,0.0,5.9644517E-5,0.0,1.0
0.0,0.0016670636,1.9845995E-5,5.9537986E-5,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.3703703E-4,3.9506172E-5,2.962963E-4,0.0,0.0
0.0016250495,8.1252476E-4,8.917955E-4,0.0,0.0
0.0,8.2962966E-4,4.9382716E-4,1.1851852E-4,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.014406359,0.0,1.3909588E-4,0.0,1.0
0.0,0.0,1.781896E-4,0.0,0.0
0.0,5.9680117E-4,0.0,0.0,1.0
0.0,3.579226E-5,1.4316905E-4,0.0,0.0
0.0,3.5715703E-4,7.7384023E-4,4.166832E-4,0.0
0.0,5.36044E-4,4.169231E-4,0.0,0.0
0.0,1.982986E-5,0.0036486941,0.0,1.0
0.002513607,2.3750619E-4,3.562593E-4,0.0,0.0
0.0,6.9444446E-5,1.7361112E-4,3.4722223E-5,0.0
0.0,1.7799929E-4,9.78996E-4,8.8999645E-5,0.0
0.0,1.9920319E-5,0.0026693228,0.0,1.0
0.0,7.561436E-5,0.0030623819,0.0,1.0
0.0,0.019693559,1.7313019E-4,0.0,0.0
